"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"amason-6","8 July 2022","It pains me to give this movie a rating of one star, but after watching less than 15 minutes, I actually thought to myself, ""who wrote this crap""? And yes, I'm looking at you Taika Waititi - it may be time to hang up your pen! This movie has some good talent in it, so it's a shame they were treated like idiots with poor dialogue, too many bad jokes that fell flat, and a plot that needed a major overhaul.Fat Thor turns into buff Thor and gets his very own nude scene - but relax ladies, he's only shown from behind. There were so many bad lines and lame jokes that I can't even pick out just one, but hey, at least Thor got to play a caricature of his former self!Smart Jane Foster turns into cancer ridden Jane, who then turns into Female Thor. Thor's hammer, Mjolnir, which was crushed to pieces by Hela, becomes whole again and is instructed by Thor to protect Jane. Apparently Mjolnir didn't understand and instead turns her into Female Thor whenever she picks up the hammer. Jane has new strength and hopes that a miracle will heal her. Unbeknownst to her, the hammer is actually drawing her remaining strength out, leaving her body unable to fight off the progressing cancer. Thor and Jane rekindle their love, only to be separated permanently by Jane's untimely death. Also, it looks like Jane became more godlike than human, because she joins other dead Asgardians in Valhalla.The Guardians of the Galaxy make an unremarkable appearance at the beginning of the film, but they are totally ineffectual until Thor shows up and saves the day. Say goodbye to the Guardians.Valkyrie (Tessa Thompson) turns into King Valkyrie instead of Queen, without any real reason given. She's not given enough to do and is rather a wasted character, which is a shame.One of the better characters is Gorr (Christian Bale) who turns into the ""god butcher"" after being chosen by the Necrosword, and sets out to kill all gods. He also isn't given enough screen time and also becomes a wasted character.Funny rock guy Korg turns into the unfunny and annoying ""Jar Jar Binks"" of this movie. (writer/director and voice of Korg, Mr. Waititi makes sure to give himself plenty of dialogue) I found myself just wishing Korg would shut up and die, but even after being reduced to rubble, his dang face remains in one piece and he can still talk! Later on he appears to have ""regrown"" himself and he's back in one piece.Zeus (Russell Crowe) can't decide if he's an all powerful god, or just a simpering weakling who picks up his short ""skirt"" as he sashays down a few steps. I guess he was just showing off his ""feminine side"". Thor called him the most powerful god, but they cast an out of shape, flabby Crowe to play the part. Crowe also assumes the most atrocious accent and ends up sounding like a Greek mafia king, who turns out to be neither a strong nor benevolent god.There also seemed to be a lot of confusion as to who or which weapon was the strongest. First it's female Thor and her hammer, then it's male Thor and his axe, then it's Zeus and his golden lightning bolt, or it's Gorr and his Necrosword. In order to blur the lines between all of them, the movie used darkness, shadows, and a whole lot of CGI for the fight scenes so it didn't matter anyway.Disney continues to further its ""anything goes"" stance by bringing out how Korg had 2 fathers who got together and produced him. Then there's Valkyrie who admits to loving another woman, and let's not forget how everyone was invited to a giant, fun loving orgy by Zeus. It seems the mighty Zeus would rather use his strength for lots of sex, rather than save a bunch of innocent children from death by Necrosword.This movie had so much potential but it never lived up to it. I love the Marvel Universe and all its characters. They deserved so much better than this mishmash of tripe. I really wanted to like this movie, but felt let down on every level. Shame on you Disney. I'm sure Stan Lee is turning over in his grave.","
            1/10
            "
"Mayhew18","9 July 2022","This is by far the most disappointing movie experience of my life. I love Marvel. Except for the Eternals, I've loved every Marvel film, even Thor 2. This film however was an embarrassment and really tough to watch. 15mins in I wanted to walk out but I was in the middle of a row.Thor has become the unfunny village idiot and everyone else just reprised their roles for an easy paycheque. It had so much potential to be epic, especially with Jane coming back in as Thor. But there was zero Marvel magic to it, and her story was completely overlooked and rushed.Bale was the only worthy thing about this monstrosity, but his character and performance were completely wasted.Don't bother seeing it until its free on Disney+, and even then, make sure you're drunk so you don't remember it the next day !!","
            1/10
            "
"MadamWarden","7 July 2022","Really puerile humour and weak boring story. Confused as to what it was all about. Cancer, feminism, schoolboy humour. A real mess.Loved early Thor but not this. Love Hemsworth but now he really is just taking the piss.Waititi should stick to his TV comedies, which I love, and leave superhero movies alone. He has literally lost the plot. 🙄","
            1/10
            "
"akshayraj-t","7 July 2022","Except for no way home nothing in phase 4 is good.The humour is very juvenile. The only redeeming part of the movie is it's cinematography and colour science.","
            8/10
            "
"cinistersynthicate","7 July 2022","With review I'm going to try and not speak about anything to do with comic book accuracy, mainly because in short you can definitely throw any of that out of the window with this movie, and instead I am going to just focus on the film itself and why I don't like it. First of all I just want to say that Thor Love & Thunder is the first ever comic book film I watched where there felt like there was nearly zero at stake. The tone of the movie is just so all over the place, the dialogue was something that my 8 year old nephew could come up with, the story seemed good on paper but was not executed well and that could be because there might be a lot of things removed, the pacing just made me feel like I was watching this for almost three hours when in all reality it was among one of the shortest of the Marvel films. Wrap up all of these issues into one big bow and you got a product that feels like actually two separate films in one movie. I briefly scrolled through some of the other reviews on here and saw plenty of complaints this time around on Thor's personality, and how he's just in a full on idiotic form. In recent years, I have been feeling very strongly about this matter and it is in full effect within Love and Thunder to the point that it is blatantly obvious. As someone who did not care for Ragnarok I was not expecting a majority the humor to resonate well with me, I wont lie and say it was totally and purely awful, I think Waititi definitely nails the Guardians of the galaxy's humor well, not as much the Thor humor though. I didn't find most of the jokes in the movie funny and I think its safe to say that it appeared that my screening did not find most of the jokes funny either between the friend I attended with actually expressing to me he felt like he was almost ""forced to laugh"" at many of the jokes and the lack of the audience expressing a sign of laughter on most of the jokes. As it is, for whatever reason it may be, the runtime was restrictive enough as it was in a movie with a lot to accomplish, If only more time was focused on developing certain plot points, relationships, characters (especially Gorr the not-so-God butcher), and adding necessary details instead of focusing what joke they could nail next, I believe the impact that the audience was supposed to feel walking out at the end would have been greater, made more sense, and maybe even I would have liked it more.","
            6/10
            "
"awarlock-17703","14 July 2022","I was a big Thor fan as a kid in the 70s. He's a buffoon in this movie. They made this franchise into a comedy. Very disappointed. If I watched this back when I was a kid, I wouldve cried.The writers of the movie should sit down ad watch all the '60s cartoons to get a grasp of the character ""Thor"". Maybe then, they'll get it.","
            10/10
            "
"rafaelcastrogarcia","14 July 2022","So... sure all the infinity saga was awesome... mostly and we were all excited for what was to come. But come on! This saga should've ended on endgame. You are just trying to make more money without any more hard work, this film made no sense as Spider-Man NWH did, as Eternals did, as BW did and as DS and all the series that are just annoying I mean you spend 2 -3 hours tops watching one of these movies... but a series? Really? These stories are just empty and dumb at some point. If Thor was able to just transmit his powers to anyone... why didn't we ever see this? Why he didn't do that during the last stand with Thanos so all the Avengers were OP? Now Infinity what the hell... I mean if this thing existed why never mentioned it? Why when he got his new hammer on IW instead of going to Wakanda to do nothing or at least help Tony... why didn't he go to infinity and asked for Thanos to forget about the stones. Why does Greg or Gorr or whatever his name is wished for her daughter to live if he knew how crappy was everything and either way he was going to die he wouldn't be able to be with his daughter cause now she's alive and he dead. You dumb Greg, I mean why bring his daughter back to life? Why he didn't say that Jane's cancer get deleted so she could be with Thor why would Thor care about that kid whom by the way is a terrible actress her dad dies and she couldn't care less. And finally Jane Foster or whatever what the hell this story felt really forced in order to introduce again Jane Foster just for her to die. I mean... why?The story is just dumb and empty just like all these Fase 4 movies.","
            7/10
            "
"wathfrancesca","6 July 2022","A pleasant movie. Thor Love and Thunder is a funnier movie than The Batman and more family-friendly than Doctor Strange and the multiverse of madness. I enjoyed the film and found it extremely enjoyable.","
            2/10
            "
"UniqueParticle","9 July 2022","I saw in IMAX a few hours ago which was mostly great, the action is top notch, surprising amount of comedy, along with so so writing although Christian Bale is one of the best things about the movie! Very enjoyable Thor despite anything Love and Thunder is epically entertaining should be praised a fair amount. Well directed fun Marvel experience that has the right elements a bulk of the time! Has an amazing soundtrack that flows well with everything especially the glossy colorful scenery. I understand the hate as well but there's a lot to enjoy.","
            2/10
            "
"gorair-45579","7 July 2022","Though the movie had so much potential but sadly it became a mediocre parody .just disappointing. Only positive thing is gorr's presence.otherwise whole movie didn't stood up to the expectations.it's even below then Ragnarok.probably 2nd worst thor movie after The dark world.One of the biggest disappointing thing is the pace & Runtime movie needed 2hrs 30 mins time for establishing the characters with the story. Everything Just feels rushed.Another big negetive aspect is thor is known for mind blowing & goosebumpsy fight scenes but this movie didn't have any single moments like that.It should've been little dark & serious story telling rather than a cheap parody.","
            4/10
            "
"B-Thunder","6 July 2022","A good movie with a very pop plot and extremely funny characters, you laugh and cry too. Many special effects and many actors in part. Very good movie. Waititi is a guarantee 👍.","
            3/10
            "
"BandSAboutMovies","9 July 2022","This is a movie of weird inconsistencies and you're either going to be forgiving or you're going to hate it. Or maybe you're a Marvel fan and will just love anything they put on screen. I'm predisposed to enjoy comic book movies because I remember an era when all we got was Ron Ely as Doc Savage -- and we liked it -- and fake Iron Man TV movies like Exo-Man, so I always wonder when people dislike these movies for reasons -- that I'll get into -- it kind of makes me wonder how filmgoers went from being so afraid of the train in The Great Train Robbery and then a few years later didn't think motion pictures were dark magic and started saying, ""Oh, this is kind of boring.""Mining the work of comic book writer Jason Aaron -- having Jane Foster (Natalie Portman) gain the hammer and powers of Thor as she battles cancer; Gorr the God Butcher attacking gods throughout time and space -- director, co-writer (with Jennifer Kaytin Robinson) and co-star (as Korg) Taika Waititi has created a movie that is as much about Thor (Chris Hemsworth) seeking his identity as it is superheroics.Gorr lost his daughter and realized he was the last being left on his planet. After praying for salvation to the god Rapu, he discovered that the gods no longer care or hear these pleas. He discovers a weapon called the Necrosword and immediately slays that god, deciding that there's no need for them. You know, kind of like how we have monarchs and leaders who beg so much of us with no return.Thor has been with the Guardians of the Galaxy, who have begun to tired of him and a call from Lady Sif (Jaimie Alexander) informs him that Gorr the God Butcher is coming to Asgard to destroy any of the gods who survived. It's intriguing that while Thor took Gorr's arm in their first comic book battle, Gorr takes hers.Asgard has become a tourist spot and Valkyrie (Tessa Thompson) has begun to miss the life of combat she once savored, instead being trapped by bureaucracy. Gorr is a threat she can handle more easily than red tape, so she dives into the battle, soon joined by Jane as Thor, Thor's friend Korg, two braying space goats named Toothgrinder and Toothgnasher, and Thor himself, carrying Stormbreaker, a hammer that begins to grow jealous of its owner's old weapon.Gorr ends up kidnapping the children of Asgard and makes his way to find Eternity, the being in the center of the universe that he can ask to end the gods. Thor and his friends head to the Galactic Senate on Coruscant -- err, I mean Omnipotence City. There, they petition Zeus (Russell Crowe) for help, but start to realize that maybe Gorr went on his mission to end the gods with good reason.The movie is, at the end, about the love that binds us to people and defines us more than hitting shadow creatures with axes and hammers. The tone may vary throughout the film, as major threats are joked at throughout the film, a fact that was embraced in Thor: Ragnarok and yet disliked here. I've ever read comments that people wanted the entire film to be like the dark opening as Gorr loses his daughter and I wonder, ""Have they ever seen a summer blockbuster with four Guns 'n Roses songs blaring on the soundtrack?""Christian Bale is what made this movie, playing a role that finds him frightening children and laying powerful gods low. After The Dark Night Rises he claimed he'd never make another superhero film, but his children begged him to be in this. I hope they have the action figure of their dad; he's one of the best -- if not the best -- Marvel Cinematic Universe villains, one that may be more right and devoted to his cause than Thor, whose only cause is his own life for most of the film.I also loved that Korg starts and ends the film almost as a riff on Mad Max Beyond Thunderdome, telling the children of the adventures of a legend. His constant fumbling as he tells the tale is actually pretty endearing. And hey -- any space Viking ship that names its bar after Cocktails & Dreams, the one Tom Cruise works at in Cocktail -- is going to make me laugh.Are people tired of superhero movies? Sure. But they're the reason to leave our homes and go see a movie. This is the natural evolution of the summer blockbuster and if big studios could have made a Star Wars every few months, they would have. As for most comic book fans, we get it. We get hundreds of new blockbusters released every Wednesday at comic shops and keep thousands of characters and timelines and alternate realities straight. I just wonder what people expect from movies now and what would make them happy. Honestly, I get the feeling that some people instantly dislike a movie just because they need something to kvetch about. Then again, I'm a forgiving lover of 80s sword and sorcery movies, Jack Kirby and neon colors on film. So maybe I was predisposed to like this.That said -- I never thought that I'd see so many Celestials -- much less one -- in a movie. Yes, I realize they were in The Eternals, but seeing so much of this movie is like reading through old issues of Journey Into Mystery. Sometimes, you just need to enjoy things, find the good and love the feeling of summertime, when movies just want to entertain you.","
            1/10
            "
"hectordanielbuelna","9 July 2022","Chris, Bale and Portman are at the top of their acting in here. There are a bunch of scenes where they really transmit their sadness, their passion and their hate. I really liked that. There wasn't enough of it, sadly. Disney's sticking to the old Marvel formula of ruinning a beautiful scene with a dumb joke or a funny gag and then looking directly at the camera going ""hahaha did you expect that joke about rocks making babies in the middle of a deeply emotional character scene?"". Horrible.I just didn't like it at all.This movie is made for kids. It was so much better when the movie was in my mind, now that I've actually seen it I'm beyond dissapointed. But I'm finally done with the MCU so hooray! I have zero interest in any of the upcoming movies. So now I can save my money and maybe buy some good books instead.","
            5/10
            "
"dupregalaxy","6 July 2022","Unfortunately the film itself seems to be quite underwhelming.Whilst the stars and co-stars continue with the similar style of performance as previously seen, the story itself seems to be lacking a drawcard that stimulates the hunger for more. The climax is quite anti-climatic and the cgi in itself seems to be of poor quality considering what we have seen in previous films.The introduction of the mighty Zeus could have illustrated a bit more raw power as opposed to introducing a comic, that could possible be taken out by Hawkeye if given the chance.The light hearted comedy observed in Ragnarok was well balanced whilst not detracting from the story. In Love and Thunder it feels that some of the comedic moments are forced, and that the emphasis of the movie is to create laughs rather than build up the anxiety and tension that you would expect Christian Bale's character to create, or feel any emotion between Thor and Mighty Thor.If you are not in any hurry, wait until the Disney+ release.Perhaps better luck in the next instalment.","
            5/10
            "
"prbessette","19 July 2022","With such star power and serious acting ability how on earth didn't somebody yell STOP? This isn't working! Write a script worthy of the actors who clearly did their job in preparation for this mess. All the blame for the much anticipated and highly hyped Thor: Love and Thunder lays at the feet of its director/writer Taika Waititi and I can't believe I had to write that. Often brilliant, all I could think of was why he didn't pass if he didn't want to make another Thor movie! I'm actually worried that someone will get the wrong impression that there isn't a story to tell about Thor when I'd pay to see this one again with a good script and with proper use of the available talent. These movies are made for young teens and enjoyed by adults and this turned me back into an early teen stomping my feet and yelling in my head at the screen for the lame jokes, the pitiful use of Russell Crowe, the tragedy of the lack of use of Christian Bale, (he finally has been given the right role to bother with a Marvel movie and you butcher his story?), the very indifferent story given to Natalie Portman to address the situation she is living in, and on and on. Why were The Guardians even there? Another complete waste! How do you manage to waste Chris Pratt and Brad Cooper too? Not to mention the star!! Hemsworth worked unbelievably hard to prepare for this movie and even he was wasted in this nothing burger, poorly conceived and genuinely indifferent direction with no story, certainly not one worth telling, of what could shoulda woulda been THE blockbuster of the summer! WHO LET THIS HAPPEN!! I'm very worried that the wrong people will get the idea that there isn't a Thor story left to tell when this actor, who has basically dedicated his career to playing him and cares every bit as much as Benedict Cumberbatch does about portraying Dr. Strange, won't get credit where it's due because so much trust was placed in the wrong director because he had a hit with Ragnerok. He keeps saying he didn't want to make it again when that's exactly what he did! This story called for a script that took the material seriously, including humour that hit the target instead of lame 6 year old jokes! And mostly it needed the time, that extra 40 minutes given to Dr. Strange, to fully give Gorr the time he needed to show us his rage and anguish becoming the God Butcher, there's never been an actor better qualified to play a character with the depth of this one (think Oscar Isaac as Moon Knight, where was Christian Bale's chance to bring his incredible performance out of the shadow because he was robbed of story time?). And also time to truly let us feel that Natalie's Jane Foster was the love of Thor's life who this all powerful god could do nothing to save? Where was their moment? Honestly Mr. Waititi, I don't think you wanted to make another Thor movie period and you should have been big enough to pass on it or get help when you knew your script wasn't nearly enough to properly serve the characters in a movie that clearly WASN'T Ragnerok but an epic tale which you admittedly said you filled with every single suggestion received by 6 year olds. How could you? How do you sleep? You're the king of comedy in New Zealand but you're more than that, you can be overly silly but you're extremely intelligent and must have known this was headed off the rails early enough to save it from a near complete disaster! WHAT WERE YOU THINKING???","
            4/10
            "
"DasGlasperlenspiel","20 July 2022","Visually it is still opulent. But the story is full of the dumbest silliness imaginable. The scenes with 'Zeus' are downright annoying. Thor (and the MCU) are apparently told to the end.","
            4/10
            "
"eddidvd","12 July 2022","I really wanted to enjoy it, but it made me want to leave after 20 minutes. I am actually appalled at the amount of good reviews online. I know the movie is supposed to be light hearted and a comedy, but it still fails in an astonishing fashion. IT IS SIMPLY NOT FUNNY. I was not the only one to think so either. It was really painful to hear the silence in the cinema after most of the supposed ""jokes"". The pacing was terrible as well, with most of the movie not driven by plot points but by what jokes Taika Waititi found funny; some were rehashed old jokes as well. There are good actors in this movie but their characters are stupid and too goofy for us to appreciate them. Thankfully, Anthony Hopkins' character is dead, otherwise we would have heard him tell fart jokes. The dialogue is the worst part by far, with most lines sounding like they were written by 4th graders. Bale is an amazing actor and his character was one of only good things about the movie; however, his ark was also understandably limited and a little superficial. The random cliche cgi monsters did not help the movie either.I would have been satisfied with a simple parody-like superhero movie, however this one failed completely in almost every aspect.PS: I think the movie should be rated somewhere around the 5/10 range but I gave it a 1/10 because of how much I disagree with the current rating.","
            3/10
            "
"samquinn2006","6 July 2022","I really really wanted to love this but I just couldn't. Chris Hemsworth is perfect in the role as ever and there are some fun scenes and lines but overall it just feels formulaic and, at times, kinda boring.The Jane Foster storyline works well but the Valkyrie character is just reduced to stupid and Christian Bale's bad guy is just a silly joke with no real menace or threat.I'm still happy I went to see it but wish it had been so much better.","
            2/10
            "
"tmcmaster-67512","13 July 2022","Marvel has finally jumped the shark. They have had no idea what to do with their product after Engame. I thought this would have something to do with the multiverse seeing as that's the route they've decided to take but nope, nothing here on that whatsoever.The film is essentially a ""comedy"" but not one joke was funny. I laughed at the movie rather than with it. This movie really pointed out that these movies are very goofy and should be not taken seriously as with older films. The scene with Russell Crowe, I laughed so hard at the embarrassment all these actors must've felt doing it. In front of a giant green screen acting like complete fools to entertain no one.Speaking of the CGI, I'm not sure where Disney put all their money into this because is wasn't for the CGI. Everything and I mean everything in this movie is built In a computer. I'm pretty sure even the hospital scenes with Natalie Portman were in a green screen room. At one point in the first act Thor & Mighty Thor are talking and I swear they digital deaged both Natalie Portman & Chris Hemsworth to make them look better. I know they do this in movies now to get rid of wrinkles and stuff but it was so blatant and distracting I couldn't help but be baffled at what I was seeing. This is by far the worst effects I've seen in a marvel film hands down.That leads me to the action scenes, first of where were they? Whenever someone had to fight I honestly could care less. It was so boring and the villains shadow monsters were completely trash and forgettable. The action is not existent in this. It's really beautiful people standing in front of a green screen improvising every single word of dialog. I'm truly embarrassed for this film.So Thor, he honestly should've ended his screen time after endgame as well along with Ironman & Captain America. I don't see how he fits in the future of the Universe at all. If you were going to keep him around I would've much rather of seen an entire film with him with the Guardians of the Galaxy & working with James Gunn. Speaking of, no one should direct the Guardians of the Galaxy but James Gunn. The scenes with actors from that film are all off with a different director. All the characters just felt off in this movie and that lives and dies with Taika Waititi. Now I like his films, he is a great filmmaker and funny in general but the tonality of this film is just all over the place and he really isn't a great fit for this anymore.Now the only and I mean only saving grace in this film is Christian Bale hamming it up in spectacular fashion. The film was only ever good when he was on screen. Far and beyond the only interesting character in the entire film and he's honestly barely in it. Just a complete waste of his talent.So from here I have no idea what marvel is doing. Their ""storyline"" is all over the place since Endgame. They better figure it out quick because this was just a mess from beginning to end.","
            1/10
            "
"shrikantnikhil","9 July 2022","A very Broken Story.No character Development.Jokes every two minutes.Most of the Jokes dont land.Bale as Gorr is Fantastic but has very little screen time, his character has a complete different tone than that of the movie (doesn't fit).","
            1/10
            "
"netflixry","10 July 2022","At best Thor: Love and Thunder is a 4.out of 10. I'm a HUGE fan of Taika Waititi, and of the Marvel Universe. Thor: Ragnarock is my favorite Thor movie, and one of my top five favorite MCU movie, but Love and Thunder is just an absolute train wreck. A total swing for the fences, and a miss. Unfortunately it seems they were swinging for fences which most likely border the Three Stooges Universe, and nowhere near the MCU. Is Love and Thunder worth watching? Yeah there's some entertainment there, but don't go expecting a top notch MCU experience. Lower your expectations a lot. Otherwise you're in for a big dissapointment.","
            3/10
            "
"dannylee-78082","19 July 2022","This is by far the worst movie in phase IV. I even enjoyed Eternals. While not as exciting, I thought it was a fun watch. But this feels hard to defend.Throughout the movie, Christian Bale gives his best effort to salvage the movie with little impact. Even the origin story felt clunky but it did set the light and comical undertone. I initially thought this was not necessarily a negative - just different. However, my mind began to see the truth of it as the movie passed.The entire trailer was like within the first 5 min. I don't think there's anything particularly wrong with that but it added to more anticipation how the rest of the movie was going to play out, which in the end added more disappointment because it did not deliver. It was good to see Natalie Portman on screen again but she wasn't particularly outstanding in this film. If she's not to return in future Thor movies, I don't understand why she needed to reappear as I feel like Jane's character was assassinated to accommodate the overall comical undertone. I simply couldn't comprehend why she would turn from a career-focused physicist to battle loving warrior. It felt so out of character but poorly explained. I initially thought that the hammer was to cure her terminal cancer but turned out that it actually drains its life force. This was some elementary writing that I cannot believe was approved. There was no sense of logic or buildup and the audience was just supposed to swallow the ridiculous propositions that the movie presented. Furthermore, Jane and Thor's relationship was portrayed so poorly. Their kissing had no emotional effect. They broke up because they got distant and 3 years later, they suddenly have a spark again. Elementary writing at best that surely cannot anticipate mature viewers to appreciate. Valkyrie felt like she was also another victim of character assassination. I even noticed this despite her not being the main center of focus in this movie. She has never felt this light.Overall, the technical aspects also felt lacking. Many have already commented on the low quality CG moments of the movie. I have to admit that I didn't point that out in my notes as I was watching the movie but it did definitely feel visually underwhelming, similar to how Black Widow felt. On top of that, the music and the battle sequences felt underwhelming and that's where I figured that this will be terrible because those are Marvel's strong suits. Not hitting those checkboxes indicates a serious problem.Once the veil of comedy was lifted and the movie started to take a more heavy turn, I still could not take it seriously because the execution felt cliche and subpar. For most of the movie, I had not taken the movie seriously because the tone provided zero weight with its cringe jokes that are supposed to make middle schoolers laugh. The inconsistency in its tone made the movie a little short of everything - not comedy, not action, not drama, not romance not a Marvel movie that we've all loved in the end.For some positives, I found the shadow monsters intriguing. I thought they were well designed, albeit nothing entirely new. I found the screaming goats funny, partially because I wasn't aware of the meme before. I appreciated the black and white tone in the shadow realm. Felt like Sin City for a moment. Bale definitely stole the scene in all of his moments but I am not still convinced that this movie was a good choice for his near-perfect filmography.Overall, I found Thor to be a high budget B movie that significantly tainted Phase IV and (hopefully not) will have a lasting impact on future Marvel projects.","
            4/10
            "
"fuzzyjj-1","12 July 2022","What can i say.... Weak script, weak acting, pointless use of Guns&Roses in soundtrack, attempts to be funny that aren't funny. I think the actors aren't bad actors, bit they're just not showing good acting in this one but i guess with a script this weak that's a challenge.Gets 2 stars instead of 1 because of the well done special effects.Wouldn't recommend, absolute waste of time. Lasts about 1 1/2 hours too long. Not worthy of Disney imho.","
            4/10
            "
"jjakum-96413","8 July 2022","Haven't written a review in a long long time but I felt it was my civic duty to warn people about this dumpster fire. Probably the worst movie I have ever seen. I thought I stepped into a spoof movie. I was waiting for Mel Brooks to show up. I don't know how the MCU recovers from this. 1. They turned Thor into a buffoon. 2. The Pacing of the movie was terrible. 3. It tried to be funny and failed miserably. 4. Korg is the Jar Jar of the MCU. Every scene with him is as irritating as poison ivy.I also can not believe Russell Crowe signed up for this. Times must be tough.The mid-credit scene was pointless as well. Nobody cares about Hercules.","
            4/10
            "
"apereztenessa-1","15 July 2022","Thor Love and Thunder is a massive failure. Like Ragnarok, it doesn't take itself seriously. Unfortunately, in this case, the jokes are just not funny. So while Ragnarok carried its audience along through its humor, Love and Thunder fails to do the same, and the audience is left staring at a not funny film that doesn't believe in itself. Soon enough the characters abandon the screen and the worst risk of all superhero movies materializes: all you see is grown-up people in superhero costumes. It's embarrassing for the actors (aren't you a bit old to be wearing superhero costumes?) and by reflection, for the audience.I find that poor directors can hide their weaknesses for so long, and Takia Waititi is one such director. His most famous films, Jojo Rabbit and Thor Ragnarok were generally weak, but went by, disguised in some humor that worked okay. Without that artifice, the gaps of Waititi as a filmmaker are fully revealed in this new Thor.","
            5/10
            "
"kuzco-45763","12 July 2022","I LOVE Thor but this was NOT the Thor I know!! Disney once again strikes with its wokeness ruining Thor, making him into a moronic, love struck buffoon while pushing girl power once again. The story was weak, the special effects were so-so, the acting was just bad except Christian Bale who did a amazing job as Gorr. Save your money & watch it on Disney unless you really want some movie theater popcorn.","
            5/10
            "
"thePopcornExplorer","8 September 2022","The multiverse plotlines and the insane success of Marvel these days, has made their content become empty, shallow and a mere eye candy experience.The best word to describe this movie is soulless; a fast-paced story that doesn't allow for the plot to evolve organically, a goof fest of characters that are simple comedic versions of their own selves, terrible jokes, ridiculous scenes (the kids in the final act...) all of it wrapped in decent CGI to make it easily digestible.Taika Waititi did the hardest thing which was to recover a character with a boring couple of movies and making the third one the best adaptation for the character itself and for its place in the cinematic universe, but this second time around he simply over did it, I felt nothing for this film, it's an empty experience with good imagery.If you stay for the credit scenes you will see how pointless the final part of the film is, and it had the potential to do some sort of redemption but it's again an empty gesture... Also, the reason I don't score this lower, is the fantastic performance by Christian Bale (nothing surprising here) and makes me sad that they wasted such a great villain in a movie like this, a great achievement not from the acting department made possible by Bale and Portman but also for the villain's background story, one of the richest I can recall from the MCU.Wasted potential, Marvel and Disney are sitting on their pile of money making this Phase 4 which has been overall very underwhelming, I know this won't happen, but they should either give audiences a break from Marvel or just reinvent the Universe and explore other characters and directions.","
            7/10
            "
"tpcatoz-90650","8 July 2022","It pains me to write this review because I really wanted to love this movie and I really enjoyed Thor Ragnorak, but this movie just wasn't good.Before going into the movie I was interested in what people were saying about it and saw a ton of people comment on the amount of jokes. They were so right. It felt like there was a joke every 30 seconds. They were barely any serious parts in the movie and in my opinion it really hurt the movie. Marvel usually does an excellent job with balancing the jokes in their movies, but Love N Thunder just over does it completely.Also, why did Endgame make it appear as though the GOTG and Thor were going to be a team for the foreseeable future? The Guardians were basically not in the movie and it was definitely disappointing for me.The pacing also felt kinda odd in my opinion. It felt like it picked up and slowed down and kept repeating this.Overall, I didn't hate this movie but I had high hopes going into it and felt dissatisfied afterwards. The jokes and pacing were big complaints of mine but there was some decent parts to this movie's.","
            8/10
            "
"receptorfatigue-296-333891","8 July 2022","Thor: Love and Thunder was like watching a table read of a first draft of a parody of some other movie. The only member of the cast and crew who didn't mail it in was Christian Bale. Maybe there was a key rigging gaffer or 2nd unit digital imaging technician who also didn't mail it in, but it was hard to tell with everybody else sucking so much.","
            1/10
            "
"ryannoel-84353","23 April 2023","Thor: Love and Thunder feels like an absolute disaster of a movie, taking all the positive aspects from Thor: Ragnarok and focusing on mindless humour.The movie is poorly written and lacks any coherent plot. The screenplay is a mess of contrived dialogue, nonsensical character motivations, and lazy storytelling. The movie attempts to be a comedy, but the jokes are forced and unfunny, falling flat at every turn. Even the action scenes, which are supposed to be the movie's saving grace, are poorly choreographed and unexciting.The performances of the cast are wasted in this movie, with even veteran actors like Chris Hemsworth and Natalie Portman unable to save it. Hemsworth's portrayal of Thor, which was previously a highlight of the Marvel Cinematic Universe, is reduced to a caricature of itself, with the character reduced to a bumbling, unfunny joke. Portman's Jane Foster, who was previously absent from the MCU, is given nothing to work with, reduced to a love interest and a plot device.The new characters introduced in the movie are poorly developed and forgettable. Tessa Thompson's Valkyrie, who was previously a promising character, is reduced to a one-dimensional stereotype, and her role in the movie feels tacked on and unnecessary. The villain played by Christian Bale is a paper-thin caricature, lacking any depth or nuance, he is set up as the big bad however is quite underwhelming despise the efforts of Bale.The movie's visual effects are unimpressive and feel like a step back from previous Marvel Cinematic Universe movies.The CGI is often poorly rendered, and the movie's use of practical effects is uninspired. The film's overall look and feel are underwhelming, lacking the epic scale and scope that fans have come to expect from Marvel movies.In conclusion, Thor: Love and Thunder is a terrible movie that squanders the potential of its talented cast and adds nothing to the Marvel Cinematic Universe. The movie's poor writing, unfunny jokes, forgettable characters, and underwhelming visuals make it a complete waste of time and money. Fans of the Marvel Cinematic Universe would be better off skipping this movie altogether and waiting for something better to come along.","
            2/10
            "
"wilson-06372","10 July 2022","First off, I love the MCU. They have reduced Thor to a big dumb idiot and I don't like that. This movie is funny, but they have taken funny Thor too far over the top. Thor has jumped the shark. 🤷‍♂️","
            5/10
            "
"itscold-02315","7 July 2022","Don't get me wrong I loved parts of the movie but some parts of it felt a bit rushed it seems like now 2 hours is a bit short for Marvel to tell the story fans the movie should of been atleast another half
An hour because there could of been scenes to make to movie better like Scenes with Christian Bales Gorr the God Butcher killing 1 or 2 more over gods and other worlds would of made him a lot more menacing and it was so much potential there with the actor he is he did well with what hes had but the run time of the movie felt to short it done that with Doctor strange MoM now Thor love it but give us a longer movies in future 2 hour Marvel films are to short to tell a full on story.","
            1/10
            "
